,date, dc_sales, dc_profits, inflation, unemployment, tbill, natsales, dc_sales_chg, dc_profits_chg, natsales_chg,unempl_pct_chg,infl_pct_chg
0,2008-06-01,62818486,7867240,0.0101,0.055999999999999994,0.040999999999999995,18128,62818485.0,7867239.0,18127.0,,
1,2008-07-01,67453529,8121902,0.0053,0.057999999999999996,0.0401,18590,0.07378469770825104,0.03236992897127836,0.025485436893203886,,
2,2008-08-01,65244809,7886332,-0.004,0.061,0.0388,18126,-0.03274432090869553,-0.0290042898818528,-0.024959655728886497,,
3,2008-09-01,62132001,7364126,-0.0014,0.061,0.0369,18546,-0.047709665300729134,-0.06621658839622781,0.023171135385633892,,
4,2008-10-01,63783514,7625787,-0.0101,0.065,0.0382,19067,0.026580714823589858,0.035531847228034937,0.02809231101046048,,
5,2008-11-01,64409817,7961180,-0.0192,0.068,0.0353,18998,0.009819198735271938,0.043981427752965034,-0.0036188178528347406,,
6,2008-12-01,63847152,7617200,-0.0103,0.073,0.024,26453,-0.008735702509448209,-0.0432071627572797,0.39240972733972,,
7,2009-01-01,127332617,15833428,0.0044,0.078,0.0252,18177,0.9943351114549324,1.0786414955626742,-0.31285676482818586,,
8,2009-02-01,107890180,13187701,0.005,0.083,0.0287,16779,-0.15269015479356715,-0.16709754830097434,-0.07691038125103153,,
9,2009-03-01,117647570,14706564,0.0024,0.087,0.0282,18457,0.09043816592019774,0.11517269006933052,0.1000059598307408,,
10,2009-04-01,119918039,14777073,0.0025,0.09,0.0294,17894,0.019298902646268,0.004794389770445361,-0.03050333206913366,,
11,2009-05-01,126488204,15274920,0.0029,0.094,0.033,17772,0.054788796204380895,0.03369050149512018,-0.006817927797026936,,
12,2009-06-01,158781684,19283895,0.0086,0.095,0.0372,18637,0.255308234118021,0.2624547297138054,0.04867206842223723,0.6964285714285716,-0.14851485148514854
13,2009-07-01,163669666,20063671,-0.0016,0.095,0.0356,18570,0.030784293735038108,0.040436644153061405,-0.0035949991951494346,0.6379310344827587,-1.3018867924528301
14,2009-08-01,166880014,20844516,0.0022,0.096,0.0359,18696,0.01961480143791581,0.03891835148213904,0.00678513731825525,0.5737704918032787,-1.55
15,2009-09-01,162138324,19685466,0.0006,0.098,0.034,19164,-0.028413767990216013,-0.05560455325515833,0.025032092426187418,0.6065573770491803,-1.4285714285714286
16,2009-10-01,161612084,19610447,0.001,0.1,0.034,19740,-0.0032456237798535533,-0.003810882607503424,0.030056355666875388,0.5384615384615385,-1.099009900990099
17,2009-11-01,159947789,19593620,0.0007,0.099,0.034,22001,-0.010298085135762495,-0.00085806305180091,0.11453900709219858,0.4558823529411764,-1.0364583333333333
18,2009-12-01,166142631,20556855,-0.0018,0.099,0.036000000000000004,29738,0.03873040095602697,0.04916064514877802,0.3516658333712104,0.3561643835616439,-0.8252427184466019
19,2010-01-01,239876378,28990122,0.0034,0.098,0.0373,19565,0.4437978774996045,0.4102411093525736,-0.34208756473199275,0.2564102564102564,-0.2272727272727274
20,2010-02-01,213315611,26150203,0.0002,0.098,0.0369,18420,-0.11072689700192156,-0.097961609130172,-0.05852287247636085,0.1807228915662651,-0.96
21,2010-03-01,238070141,28654790,0.0041,0.099,0.0373,21630,0.11604649975664465,0.09577696203735014,0.1742671009771987,0.13793103448275867,0.7083333333333337
22,2010-04-01,231269722,28320972,0.0017,0.099,0.0385,20387,-0.028564770749642227,-0.011649640426609304,-0.0574664817383264,0.10000000000000009,-0.32000000000000006
23,2010-05-01,239353717,28447817,0.0008,0.096,0.0342,20021,0.03495483511672142,0.0044788363902199405,-0.017952616863687643,0.02127659574468077,-0.7241379310344827
24,2010-06-01,417500386,51876256,-0.001,0.094,0.032,21027,0.7442820242478206,0.8235584122324746,0.050247240397582535,-0.010526315789473717,-1.1162790697674418
25,2010-07-01,427630170,51817367,0.0002,0.094,0.0301,19875,0.02426293325630602,-0.0011351821534692096,-0.054786702810672,-0.010526315789473717,-1.125
26,2010-08-01,432659046,52080114,0.0014,0.095,0.027000000000000003,21601,0.01175987185375625,0.005070635873876031,0.08684276729559748,-0.01041666666666663,-0.36363636363636365
27,2010-09-01,421893769,51592534,0.0006,0.095,0.0265,21327,-0.024881663978892053,-0.009362114683543128,-0.012684597935280774,-0.030612244897959218,0.0
28,2010-10-01,435926906,53236581,0.0012,0.094,0.0254,21387,0.033262252327789184,0.031865986656131294,0.0028133352088901393,-0.06000000000000005,0.19999999999999996
29,2010-11-01,425013152,52353880,0.0004,0.098,0.0277,25274,-0.0250357430334892,-0.016580722943120633,0.18174592041894608,-0.010101010101010055,-0.4285714285714285
30,2010-12-01,433510327,52755763,0.0017,0.09300000000000001,0.0331,32974,0.01999273424837451,0.007676279198408981,0.30466091635673026,-0.06060606060606055,-1.9444444444444444
31,2011-01-01,500421996,60192542,0.0048,0.091,0.0339,22219,0.15434850067597122,0.14096619169359753,-0.3261660702371565,-0.07142857142857151,0.4117647058823528
32,2011-02-01,440555184,53294527,0.0049,0.09,0.0358,20666,-0.1196326549962444,-0.11459916412900455,-0.0698951347945452,-0.08163265306122458,23.499999999999996
33,2011-03-01,495223720,61241948,0.0098,0.09,0.0341,23814,0.12409009809767667,0.14912264818486898,0.15232749443530436,-0.09090909090909094,1.3902439024390243
