date, dc_sales, dc_profits, inflation, unemployment, tbill, natsales, dc_sales_chg, dc_profits_chg, natsales_chg
2012-08-01,432435198,52848448,0.0056,0.081,0.0168,27379,0.02069922123896337,0.02050428063428994,0.09450329802118729
2012-09-01,433581516,53122938,0.0045,0.078,0.0172,25451,0.002650843421862251,0.005193908437954507,-0.0704189342196574
2012-10-01,502423446,61335698,-0.0004,0.078,0.0175,27483,0.1587750571913218,0.15459913004058623,0.07983969195709402
2012-11-01,486255152,59245792,-0.0047,0.077,0.0165,32751,-0.03218061204890506,-0.034073240676253495,0.1916821307717498
2012-12-01,495858482,60479766,-0.0027,0.079,0.0172,39841,0.019749569666256205,0.02082804463142294,0.2164819394827639
2013-01-01,1302797200,162573914,0.003,0.08,0.0191,28098,1.6273568917189563,1.688071147629771,-0.294746617805778
2013-02-01,1352358644,169192803,0.0082,0.077,0.0198,25253,0.038042332298534265,0.04071310603987796,-0.10125275820343085
2013-03-01,1474620822,184265051,0.0026,0.075,0.0196,27283,0.09040662293426359,0.08908326910335541,0.0803864887340118
2013-04-01,1545742680,192063531,-0.001,0.076,0.0175,27401,0.04823060744764121,0.04232207875382728,0.0043250375691822746
2013-05-01,3206820724,193215556,0.0018,0.075,0.0194,28055,1.0746148537478437,0.005998145478227202,0.023867742053209736
